Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
20-04-2021,Gujarat,-,-,341724,5494,415972
20-04-2021,Haryana,-,-,315002,3448,363813
20-04-2021,Himachal Pradesh,-,-,67084,1203,78070
20-04-2021,Jammu and Kashmir,-,-,133981,2063,148208
20-04-2021,Jharkhand,-,-,135256,1502,167235
20-04-2021,Karnataka,-,-,1021250,13497,1176850
20-04-2021,Kerala,-,-,1144791,4950,1253068
20-04-2021,Ladakh,-,-,10474,133,12306
20-04-2021,Lakshadweep,-,-,791,1,1282
20-04-2021,Madhya Pradesh,-,-,341783,4636,420977
20-04-2021,Maharashtra,-,-,3159240,60824,3898262
20-04-2021,Manipur,-,-,29102,377,29775
20-04-2021,Meghalaya,-,-,14071,154,14979
20-04-2021,Mizoram,-,-,4546,12,4995
20-04-2021,Nagaland,-,-,12285,94,12568
20-04-2021,Odisha,-,-,347637,1948,372703
20-04-2021,Puducherry,-,-,42931,713,48336
20-04-2021,Punjab,-,-,261364,7985,304660
20-04-2021,Rajasthan,-,-,346739,3204,426584
20-04-2021,Sikkim,-,-,6165,136,6705
20-04-2021,Tamil Nadu,-,-,914119,13157,1002392
20-04-2021,Telengana,-,-,316650,1856,361359
20-04-2021,Tripura,-,-,33194,394,34094
20-04-2021,Uttarakhand,-,-,105437,1892,126193
20-04-2021,Uttar Pradesh,-,-,661311,9997,879831
20-04-2021,West Bengal,-,-,604329,10606,668353
19-04-2021,Andhra Pradesh,-,-,909941,7410,962037
19-04-2021,Andaman and Nicobar Islands,-,-,5200,64,5390
19-04-2021,Arunachal Pradesh,-,-,16809,56,16987
19-04-2021,Assam,-,-,216705,1135,224455
19-04-2021,Bihar,-,-,277667,1749,324117
19-04-2021,Chandigarh,-,-,29896,413,33934
19-04-2021,Chhattisgarh,-,-,410913,5908,544840
19-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,3876,4,4803
19-04-2021,Delhi,-,-,766398,12121,853460
19-04-2021,Goa,-,-,59277,883,67212
19-04-2021,Gujarat,-,-,337545,5377,404569
19-04-2021,Haryana,-,-,311339,3415,356971
19-04-2021,Himachal Pradesh,-,-,66489,1190,76375
19-04-2021,Jammu and Kashmir,-,-,133168,2057,146692
19-04-2021,Jharkhand,-,-,133479,1456,162945
19-04-2021,Karnataka,-,-,1014152,13351,1161065
19-04-2021,Kerala,-,-,1140486,4929,1239424
19-04-2021,Lakshadweep,-,-,774,1,1165
19-04-2021,Ladakh,-,-,10351,133,12131
19-04-2021,Madhya Pradesh,-,-,334947,4557,408080
19-04-2021,Maharashtra,-,-,3106828,60473,3839338
19-04-2021,Manipur,-,-,29090,376,29721
19-04-2021,Meghalaya,-,-,14038,153,14871
19-04-2021,Mizoram,-,-,4509,12,4904
19-04-2021,Nagaland,-,-,12285,94,12555
19-04-2021,Odisha,-,-,346134,1944,368258
19-04-2021,Puducherry,-,-,42595,708,47771
19-04-2021,Punjab,-,-,257946,7902,300038
19-04-2021,Rajasthan,-,-,344331,3151,414617
19-04-2021,Sikkim,-,-,6161,136,6696
19-04-2021,Tamil Nadu,-,-,907947,13113,991451
19-04-2021,Telengana,-,-,314441,1838,355433
19-04-2021,Tripura,-,-,33178,394,34034
